team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
BAL,2017,1038,8140,38,39,34,369,228,39,102,15,4,517,60,599,593,0.57,551,363,188,3842,3235,22,13,551,363,3235,1506,22,9,1,445,0.43,6,1873,15,6,3,5,3,0,4,4,0,9,7,0,0.563,"	9-7-0",7.84
BAL,2018,1116,9742,38,36,35,369,228,36,105,21,10,894,68,608,587,0.53,544,334,210,4803,3708,19,9,544,334,3718,1563,19,5,4,529,0.47,22,2458,19,16,6,6,2,0,4,4,0,10,6,0,0.625,"	10-6-0",8.73
BAL,2019,1042,9901,59,57,28,495,354,57,84,16,6,991,20,505,467,0.45,430,289,141,3822,3350,37,8,430,289,3350,1447,37,2,1,575,0.55,38,3313,21,14,5,7,1,0,7,1,0,14,2,0,0.875,"	14-2-0",9.5
BAL,2020,979,8746,54,52,26,454,324,52,78,23,7,946,28,486,436,0.45,392,257,135,3521,2919,29,11,392,257,2919,1272,29,9,2,543,0.55,50,3083,24,14,5,5,3,0,6,2,0,11,5,0,0.688,"	11-5-0",8.93
BAL,2021,1177,10719,43,32,35,395,258,32,105,19,8,1123,76,745,668,0.57,586,396,190,5242,4267,24,18,586,396,4267,1712,24,12,5,509,0.43,77,2487,19,7,3,5,4,0,3,5,0,8,9,0,0.471,"	8-9-0",9.11
BAL,2022,1030,8987,35,31,37,352,210,31,111,20,8,916,46,563,522,0.51,470,300,170,4014,3202,20,13,470,300,3202,1370,20,10,5,508,0.49,41,2741,14,10,3,5,3,0,5,4,0,10,7,0,0.588,"	10-7-0",8.73
BAL,2023,1064,10194,55,51,32,477,330,51,96,22,12,901,72,608,535,0.5,486,328,158,4089,3881,28,7,486,328,3881,1827,28,13,7,529,0.5,73,2674,26,9,5,6,3,0,7,1,0,13,4,0,0.765,"	13-4-0",9.58
BUF,2012,972,8924,41,39,21,348,246,39,63,23,17,631,30,571,540,0.56,492,309,183,3972,3430,26,17,492,309,3430,1805,26,16,11,432,0.44,31,2225,12,7,6,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",9.18
BUF,2013,1099,8818,35,32,33,341,210,32,99,24,11,723,334,607,571,0.52,506,299,207,4506,3373,19,15,506,299,3373,1508,19,12,8,528,0.48,36,2338,15,12,3,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",8.02
BUF,2014,1008,8979,33,31,34,331,198,31,102,18,9,683,41,631,616,0.61,563,363,200,4173,3856,25,13,563,363,3863,2084,25,12,7,392,0.39,15,1498,7,6,2,5,3,0,4,4,0,9,7,0,0.563,"	9-7-0",8.91
